"nama_silver","nama_dim_dosen","prodi","fakultas","judul_proposal","sitasi","doi","jurnal","jurnal_kategori","tanggal_terbit_hari","tanggal_terbit_bulan","tanggal_terbit_tahun"
"Muhammad Hakiem Sedo Putra.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Waste Power Plant as an Innovative Solution to Overcome Air Pollution in Bantargebang Integrated Waste Management Facility","1","","SINTA 4","NASIONAL","0","6","2025"
"Muhammad Yasin Siregar.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Tensile strength of epoxy hybrid composites reinforced with coconut and sugarcane fibers","1","","SINTA 4","NASIONAL","31","5","2025"
"Muhammad Yogi Saputra.","","KIMIA","FAKULTAS SAINS","Microwave-assisted synthesis of risperidone in methylimidazolium-based ionic liquids media","1","https://doi.org/10.1016/j.molliq.2025.128664","JURNAL INTERNASIONAL Q1","INTERNASIONAL","16","10","2025"
"Muhammad Zainal Ibad.","","PERENCANAAN WILAYAH DAN KOTA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Stakeholder dynamics on green port transformation: A socio-technical regime approach","2","https://doi.org/10.24294/jipd7640","JURNAL INTERNASIONAL","INTERNASIONAL","0","1","2025"
"Na Nabila, Ma Karim, Ad Akhmad.","","FARMASI","FAKULTAS SAINS","Characteristics and evaluation of potential drug interactions among HIV/AIDS outpatients: a retrospective study at primary health center in a North Lampung regency, Indonesia","1","","JURNAL INTERNASIONAL Q3","INTERNASIONAL","30","6","2025"
"Nabila Putriyandri Alifa.","","TEKNIK LINGKUNGAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Penguatan perilaku hidup bersih dan sehat (PHBS) pada siswa: Studi kasus di SDN 02 Way Huwi","1","","JURNAL NASIONAL","NASIONAL","0","0","0"
"Nirmawana Simarmata.","","TEKNIK GEOMATIKA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Analisis Spasial Risiko Bencana Kebakaran Hutan Dan Lahan Di Kabupaten Pesawaran","1","https://doi.org/10.22236/jgel.v9i1.14520","SINTA 3","NASIONAL","30","1","2025"
"Novita Hillary Christy Damanik.","","ARSITEKTUR","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","STUDI NILAI TRANSFER PANAS KESELURUHAN PADA SELUBUNG BANGUNAN PUSAT KEGIATAN MAHASISWA","1","https://doi.org/10.30630/jipr.20.2.395","SINTA 5","NASIONAL","0","0","2025"
"Novrilia Nabila.","","FARMASI","FAKULTAS SAINS","Strengthening Rural Communities With Smart Village Approaches: A Case Study Of Teratak Village","2","","SINTA 2","NASIONAL","30","1","2025"
"Nur Istiqomah Khamidy.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Simple preparation of metal alloys by sol&#8211;gel autocombustion method","1","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","3","2025"
"Nurbaiti.","","TEKNOLOGI INDUSTRI PERTANIAN","FAKULTAS TEKNOLOGI INDUSTRI","Analisis Penerapan HACCP pada Produksi Keripik Pisang Muli dengan Penggorengan Vakum di UMKM Bandar Lampung","1","https://doi.org/10.23960/jge.v11i2.495","JURNAL NASIONAL","NASIONAL","0","0","0"
"Okti Ruenda.","","TEKNOLOGI PANGAN","FAKULTAS TEKNOLOGI INDUSTRI","MICRO BUSINESS PERCEPTIONS ON THE DEVELOPMENT OF LOCAL PROCESSED FOOD PRODUCTS IN SEMARANG REGENCY","3","","SINTA 3","NASIONAL","0","0","0"
"Prio Santoso.","","KIMIA","FAKULTAS SAINS","A Novel Synthesis of Anti-Cancer Drug Gefitinib from 6,7-Dimethoxy-3H-Quinazolin-4-One","1","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","0","2025"
"Putra Andi Kolala.","","TEKNIK KIMIA","FAKULTAS TEKNOLOGI INDUSTRI","Experimental Study on the Effect of Addition Micro Additives Zinc Oxide and Graphite Powder at Biodiesel to Decrease the Pressure Drop of Microchannels.","1","","SINTA 1","NASIONAL","0","1","2025"
"Putri Amelia Rooswita.","","FARMASI","FAKULTAS SAINS","Gambaran Pengelolaan Emergency Trolley di Rumah Sakit Umum Daerah Pringsewu, Lampung","1","","SINTA 1","NASIONAL","7","1","2025"
"Putty Yunesti, M.eng.","","TEKNIK SISTEM ENERGI","FAKULTAS TEKNOLOGI INDUSTRI","Perancangan Sistem Pembangkit Listrik Tenaga Surya (PLTS) Off-Grid Pada Gedung Perkuliahan","2","https://doi.org/10.37680/jcd.v7i1.6965","SINTA 5","NASIONAL","0","6","2025"
"Rahmat Kurniawan.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Kajian Daya Dukung Aksial Fondasi Tiang Bor pada Tanah Tufa Berdasarkan Uji PDA di Gedung Laboratorium Teknik 3 ITERA","3","https://doi.org/10.33772/jmk.v10i1.112","JURNAL NASIONAL","NASIONAL","0","0","0"
"Rifka Noor Azizah.","","TEKNIK LINGKUNGAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","PERKEMBANGAN PENELITIAN PENDIDIKAN LINGKUNGAN HIDUP DI KAWASAN ASIA TENGGARA SELAMA KURUN WAKTU 1991 - 2025","1","","SINTA 4","NASIONAL","0","8","2025"
"Rifky Fauzi.","","MATEMATIKA","FAKULTAS SAINS","Simulasi Numerik Pengaruh Lebar dan Kerapatan Mangrove terhadap Atenuasi Gelombang di Perairan Dangkal","1","https://doi.org/10.17509/jem.v13i1.81516","SINTA 5","NASIONAL","2","5","2025"
"Rio Ardiansyah Murda.","","REKAYASA KEHUTANAN","FAKULTAS TEKNOLOGI INDUSTRI","Karakteristik Biobriket Arang Campuran Limbah Batang Singkong dan Kayu Kaliandra pada Berbagai Variasi Komposisi","1","https://doi.org/10.55338/jumin.v6i3.6583","SINTA 5","NASIONAL","22","7","2025"
"Riri Fauziyya.","","FARMASI","FAKULTAS SAINS","Halothermophilic Cas9 and dCas9 Interaction with Variety sgRNA In-silico","6","https://doi.org/10.14716/ijtech.v16i1.7367","JURNAL INTERNASIONAL Q2","INTERNASIONAL","31","1","2025"
"Rizki Kurnia Tohir.","","REKAYASA KEHUTANAN","FAKULTAS TEKNOLOGI INDUSTRI","Keanekaragaman Satwa Liar dan Rencana Konservasi di Areal Operasional Pembangkit Listrik Tenaga Panas Bumi (PLTP) Ulu Belu [Wildlife Diversity and Conservation Planning in Ulu &#8230;","3","https://doi.org/10.47349/jbi/21012025/33","SINTA 3","NASIONAL","0","5","2025"
"Rizqi Wahyudi.","","TEKNIK INDUSTRI","FAKULTAS TEKNOLOGI INDUSTRI","Pelatihan literasi digital di sman 15 seram bagian barat","1","https://doi.org/10.33480/abdimas.v7i1.6259","SINTA 4","NASIONAL","0","0","0"
"Sarwono Sutikno.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Identifying and Validating Critical Factors in Designing a Comprehensive Data Protection Impact Assessment (DPIA) Framework for Indonesia.","2","","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","2","2025"
"Sarwono Sutikno.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Identifying and Validating Critical Factors in Designing a Comprehensive Data Protection Impact Assessment (DPIA) Framework for Indonesia","6","https://doi.org/10.18280/ijsse.150113","JURNAL INTERNASIONAL Q3","INTERNASIONAL","22","1","2025"
"Satrio Muhammad Alif.","","TEKNIK GEOMATIKA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Impact of baseline length on uncertainty in static relative GNSS positioning","6","https://doi.org/10.1515/jag-2024-0090","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","1","2025"
"Sb Triyanti, Fp Lestari, Pan Fitriana, Hr Rostiana, Dd Silalahi.","","REKAYASA KOSMETIK","FAKULTAS TEKNOLOGI INDUSTRI","Pengaruh Metode Ekstraksi Maserasi, Sonikasi, dan Sokletasi Terhadap Nilai Rendemen Sampel Kulit Buah Naga (Hylocereus polyrhizus)","12","","SINTA 4","NASIONAL","5","2","2025"
"Sherin Ramadhania.","","TEKNIK INDUSTRI","FAKULTAS TEKNOLOGI INDUSTRI","Usulan Tata Letak Bahan Baku dalam Gudang untuk Meminimasi Jarak Material Handling dengan Metode Dedicated-Storage di PT ABC","1","https://doi.org/10.28932/jis.v8i1.10217","SINTA 4","NASIONAL","30","6","2025"
"Siska Wulandari.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Modeling sediment accumulation in Pare Reservoir using HEC-RAS 2D: Assessing storage capacity over a 10-year period","6","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","3","2025"
"Siska Wulandari.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Machine learning-based hydrograph modeling with LSTM: A case study in the Jatigede Reservoir Catchment, Indonesia","2","","JURNAL INTERNASIONAL","INTERNASIONAL","0","12","2025"
"Siska Wulandari.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","The effect of the construction method on the tombolo process at Palabuhanratu seaport","1","https://doi.org/10.1088/1755-1315/1464/1/012019","PROSIDING INTERNASIONAL","INTERNASIONAL","0","2","2025"
"Siska Wulandari.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","ANALYSIS OF SEDIMENT CHARACTERISTICS AND FLOW DYNAMICS AFTER NORMALIZATION OF THE CITARUM-MAJALAYA RIVER IN INDONESIA","3","","JURNAL INTERNASIONAL","INTERNASIONAL","0","2","2025"
"Suratun Nafisah.","","TEKNIK ELEKTRO","FAKULTAS TEKNOLOGI INDUSTRI","Investigation of gold nanoparticles for Ganoderma fungi treatment in oil palm trees","6","https://doi.org/10.58915/ijneam.v18i1.1701","JURNAL INTERNASIONAL Q4","INTERNASIONAL","14","1","2025"
"Suratun Nafisah.","","TEKNIK ELEKTRO","FAKULTAS TEKNOLOGI INDUSTRI","Gold Nanoparticle&#8208;Based Sensing of Pesticides and Fertilizers in Aqueous System: A Review","2","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","0","0"
"Suratun Nafisah.","","TEKNIK ELEKTRO","FAKULTAS TEKNOLOGI INDUSTRI","Gold Nanoparticle-Based Sensing of Pesticides and Fertilizers in Aqueous System: A Review","1","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","0","0"
"Tarmizi Taher.","","TEKNIK LINGKUNGAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Glycerol-Assisted Modification of 3D-Printed Zeolite (3D-Ze/Gy) for Enhanced Methylene Blue Dye Removal in Aqueous Solutions","6","https://doi.org/10.1002/adem.202402555","JURNAL INTERNASIONAL Q1","INTERNASIONAL","19","2","2025"
"Tri Siswandi Syahputra.","","FISIKA","FAKULTAS SAINS","Integration of low-cost multispectral sensors and electronic nose for enhanced fermentation monitoring in tempeh production","6","https://doi.org/10.1007/s11694-025-03217-6","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","0","0"
"Ulfah Izdihar.","","TEKNOLOGI INDUSTRI PERTANIAN","FAKULTAS TEKNOLOGI INDUSTRI","Training on Utilizing Goat Manure into Kohe Fertilizer in vercoming Environmental Pollution in Negarasaka Village","1","https://doi.org/10.46964/etam.v5i1.1260","SINTA 6","NASIONAL","10","2","2025"
"Wahyu Solafide Sipahutar.","","TEKNIK MATERIAL","FAKULTAS TEKNOLOGI INDUSTRI","Comparative morphological analysis of electrospun PAN/PVDF nanofibers for waterproof breathable membrane applications","1","https://doi.org/10.1016/j.cap.2025.09.017","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","12","2025"
"Wenny Arminda.","","ARSITEKTUR","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","INVESTIGATING FACTORS INFLUENCING RESIDENTIAL LOCATION CHOICE USING PLS-SEM ANALYSIS: A CASE STUDY IN SEBERANG PERAI, PENANG, MALAYSIA","6","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","0","0"
"Werry Febrianti.","","MATEMATIKA","FAKULTAS SAINS","Application of Autoregressive Integrated Moving Average (ARIMA) for Forecasting Inflation Rate in Indonesia","2","https://doi.org/10.20956/j.v21i2.36609","SINTA 3","NASIONAL","12","1","2025"
"Wika Atro Auriyani.","","TEKNIK KIMIA","","Extraction of leaves oil from fresh leaves by using microwave-assisted extraction (MAE) and ultrasonic-assisted extraction (UAE) methods","1","","SINTA 4","NASIONAL","0","10","2025"
"Winda Yulita.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Improved human image density detection with comparison of YOLOv8 depth level architecture and drop-out implementation","1","https://doi.org/10.52465/joscex.v6i1.556","SINTA 4","NASIONAL","29","3","2025"
"Yayasan Kita Menulis, 2025.","","TEKNOLOGI INDUSTRI PERTANIAN","FAKULTAS TEKNOLOGI INDUSTRI","Manajemen Logistik dan Distribusi Darat","3","","BUKU","LAINNYA","0","3","2025"
"Yg Wibowo, D Anwar, H Safitri, A Rohman, A Rinovian, Bs Ramadan.","","TEKNIK PERTAMBANGAN","FAKULTAS TEKNOLOGI INDUSTRI","Biochar-layered double hydroxide vs biochar-layered double oxide: a critical review on their applications in water pollution control","1","https://doi.org/10.1016/j.wen.2025.07.007","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","0","0"
"Yg Wibowo, H Safitri, D Anwar, A Rohman, At Maryani, S Sudibyo.","","TEKNIK PERTAMBANGAN","FAKULTAS TEKNOLOGI INDUSTRI","Exploring the Feasibility of Nanocomposites from Solid Waste Materials for Acid Mine Drainage Remediation: A Comprehensive Scientific Review","3","","JURNAL INTERNASIONAL","INTERNASIONAL","0","3","2025"
"Yolanda Rati.","","FISIKA","FAKULTAS SAINS","Photocatalytic performance of sulfur-doped zinc oxide: green synthesis via matoa leaf extract mediation","1","","JURNAL INTERNASIONAL Q2","INTERNASIONAL","0","12","2025"
"Yudha Gusti Wibowo.","","TEKNIK PERTAMBANGAN","FAKULTAS TEKNOLOGI INDUSTRI","Comprehensive Review of Hybrid Absorption-Adsorption Techniques for Chromium Removal from Wastewater Using Magnetite-Zeolite Suspended in Glycol Slurry","2","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","0","0"
"Yudha Gusti Wibowo.","","TEKNIK PERTAMBANGAN","FAKULTAS TEKNOLOGI INDUSTRI","Microwave&#8211;Ultrasound-Assisted Extraction Coupled with Natural Deep Eutectic Solvent Enables High-Yield, Low-Solvent Recovery of Curcumin from Curcuma longa L.","6","","SINTA 4","NASIONAL","24","6","2025"
"Yuni Lisafitri.","","TEKNIK LINGKUNGAN","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Heavy metal removal from coal fly ash under alkaline conditions by indigenous bacteria isolated from a coal ash dumpsite","6","https://doi.org/10.12911/22998993/199776","JURNAL INTERNASIONAL Q1","INTERNASIONAL","17","2","2025"
"Zulfikar Adlan Nadzir.","","TEKNIK GEOMATIKA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Studi Waveform Retracking Jason-2 di Pesisir Barat Daya Sumatera","2","https://doi.org/10.14710/jkt.v28i2.26228","SINTA 2","NASIONAL","30","6","2025"
